dist,acc,ScaleFO,ScaleRes,bin_lo,bin_hi,density,uncertainty
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.55,0.56,630.8612999999999,14.981845333179914
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.56,0.57,607.7721000000004,14.545885498496249
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.57,0.58,587.1789,11.338877831224915
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.58,0.59,556.6049,11.24829335009364
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.59,0.6,572.8845,13.394803480233064
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.6,0.61,504.7955,13.091161325502211
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.61,0.62,479.83750000000003,11.820916217465712
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.62,0.63,494.0303,11.889370185646328
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.63,0.64,449.8701,9.72425957020913
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.64,0.65,464.8133999999999,9.498618413887561
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.65,0.66,436.9670999999999,9.372209706704384
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.66,0.67,391.84830000000005,8.975610019946492
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.67,0.68,397.82989999999995,9.043074910504716
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.68,0.69,396.8703000000004,8.744797301761848
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.69,0.7,355.2226,8.62667592477432
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.7,0.71,354.24789999999996,8.178463556360015
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.71,0.72,345.05969999999996,8.185939913434249
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.72,0.73,328.3303,8.437796314496392
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.73,0.74,326.7509,7.742473640758225
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.74,0.75,304.71959999999996,7.891469137527492
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.75,0.76,298.9196,7.637446038638107
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.76,0.77,298.0519,7.530085289385831
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.77,0.78,273.0215999999999,7.734471492523838
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.78,0.79,262.10569999999996,7.61198605852434
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.79,0.8,256.3698,6.812985656938442
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.8,0.81,247.61669999999998,6.554677145565595
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.81,0.82,237.6565000000002,6.546939589533474
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.82,0.83,240.84319999999997,6.274661004216558
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.83,0.84,230.90189999999998,6.073091123799802
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.84,0.85,208.19729999999996,7.603528623134456
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.85,0.86,210.02189999999996,7.52577487754583
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.86,0.87,201.0751,5.554349443269567
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.87,0.88,189.8575,5.548282543102862
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.88,0.89,198.52359999999996,5.637611680677905
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.89,0.9,182.67469999999997,5.5309790767375855
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.9,0.91,176.66109999999995,5.073457140397361
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.91,0.92,166.7146,5.009451604669414
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.92,0.93,162.3695,4.9024256235353505
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.93,0.94,165.25230000000013,4.947805517366706
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.94,0.95,159.35049999999998,5.057742176246626
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.95,0.96,142.1583,4.762467008252862
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.96,0.97,154.75379999999998,5.229762231917429
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.97,0.98,135.84199999999998,5.1650542701410185
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.98,0.99,138.33859999999999,4.2507046913724755
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.99,1.0,140.83889999999997,6.275562656718038
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.0,1.01,111.84819999999999,6.228831106165905
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.01,1.02,123.5829,4.313369638911668
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.02,1.03,123.8039,4.527992402242408
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.03,1.04,108.6418,4.4379357955992305
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.04,1.05,112.87239999999998,4.3953524709102645
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.05,1.06,116.25639999999999,4.347630285028037
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.06,1.07,101.13371,4.204320065255258
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.07,1.08,107.28773999999999,4.16805739066978
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.08,1.09,101.50098,4.242238100208423
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.09,1.1,103.31702,4.3353481546491714
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.1,1.11,94.3645,4.031358808863331
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.11,1.12,93.25917999999999,3.8421475086421366
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.12,1.13,90.4516300000002,3.802231811079054
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.13,1.14,81.41771000000001,3.8716737095180145
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.14,1.15,84.94914999999997,3.703560402839541
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.15,1.16,82.39789999999999,3.619895277095732
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.16,1.17,79.33079999999998,3.4629678060920495
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.17,1.18,75.06093999999999,3.5928160960803415
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.18,1.19,74.3943,3.7921676136278557
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.19,1.2,72.55047,3.39245763458838
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.2,1.21,68.19577,3.023874391763981
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.21,1.22,65.56208999999998,3.0890894230089856
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.22,1.23,65.71266,3.1067552650136423
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.23,1.24,65.61201,2.879131553474587
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.24,1.25,57.86835000000001,2.8396995944345926
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.25,1.26,59.71319999999999,2.824147811767647
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.26,1.27,60.299659999999996,2.720080978344025
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.27,1.28,55.28005000000001,2.9977823920124673
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.28,1.29,53.95576,3.1019701365404835
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.29,1.3,50.98161,3.312160979311391
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.3,1.31,58.64897999999999,3.3684340112528535
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.31,1.32,54.086090000000006,2.4192282419213758
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.32,1.33,50.42147000000001,2.4234321044958103
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.33,1.34,48.540279999999996,2.335647048367538
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.34,1.35,44.06807,2.2086235357554336
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.35,1.36,45.861819999999994,2.2544489156760665
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.36,1.37,44.832809999999995,2.249163910676586
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.37,1.38,43.635720000000056,2.256354432063623
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.38,1.39,40.313179999999996,2.1081282954803755
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.39,1.4,41.50206,2.12023192853046
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.4,1.41,37.92618,2.204203720613182
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.41,1.42,40.034549999999996,2.1260017395442072
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.42,1.43,37.33398,2.061021593162477
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.43,1.44,33.78751,1.9573837435252686
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.44,1.45,37.67709,1.8750277545053795
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.45,1.46,38.34529,1.843178332073705
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.46,1.47,34.735600000000005,1.8214445328312459
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.47,1.48,32.92156,1.842976099779833
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.48,1.49,32.543440000000004,1.669951202767987
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.49,1.5,30.739410000000003,1.8200479570618449
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.5,1.51,30.603059999999996,1.7295952564944888
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.51,1.52,28.101699999999997,1.6109699311759222
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.52,1.53,30.70383,1.6130140399983368
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.53,1.54,28.29143,1.5755225077899988
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.54,1.55,31.574919999999995,1.7050824417204689
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.55,1.56,26.10972,1.594933248571001
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.56,1.57,25.21133,1.4451605158542935
